DATE,TB3MS,
193401,0.72,
193402,0.62,
193403,0.24,
193404,0.15,
193405,0.16,
193406,0.15,
193407,0.15,
193408,0.19,
193409,0.21,
193410,0.27,
193411,0.25,
193412,0.23,
193501,0.2,
193502,0.19,
193503,0.15,
193504,0.15,
193505,0.15,
193506,0.15,
193507,0.15,
193508,0.16,
193509,0.2,
193510,0.2,
193511,0.16,
193512,0.15,
193601,0.2,
193602,0.2,
193603,0.2,
193604,0.2,
193605,0.2,
193606,0.2,
193607,0.15,
193608,0.2,
193609,0.16,
193610,0.13,
193611,0.11,
193612,0.12,
193701,0.17,
193702,0.15,
193703,0.38,
193704,0.56,
193705,0.41,
193706,0.36,
193707,0.28,
193708,0.29,
193709,0.31,
193710,0.2,
193711,0.09,
193712,0.11,
193801,0.1,
193802,0.08,
193803,0.08,
193804,0.09,
193805,0.05,
193806,0.05,
193807,0.07,
193808,0.06,
193809,0.08,
193810,0.05,
193811,0.04,
193812,0.03,
193901,0.03,
193902,0.03,
193903,0.03,
193904,0.03,
193905,0.03,
193906,0.03,
193907,0.04,
193908,0.05,
193909,0.14,
193910,0.05,
193911,0.05,
193912,0.04,
194001,0.01,
194002,0.02,
194003,0.02,
194004,0.02,
194005,0.06,
194006,0.1,
194007,0.05,
194008,0.04,
194009,0.05,
194010,0.02,
194011,0.02,
194012,0.02,
194101,0.02,
194102,0.04,
194103,0.11,
194104,0.1,
194105,0.11,
194106,0.12,
194107,0.12,
194108,0.13,
194109,0.1,
194110,0.09,
194111,0.28,
194112,0.33,
194201,0.27,
194202,0.25,
194203,0.25,
194204,0.32,
194205,0.37,
194206,0.37,
194207,0.38,
194208,0.38,
194209,0.38,
194210,0.38,
194211,0.38,
194212,0.38,
194301,0.38,
194302,0.38,
194303,0.38,
194304,0.38,
194305,0.38,
194306,0.38,
194307,0.38,
194308,0.38,
194309,0.38,
194310,0.38,
194311,0.38,
194312,0.38,
194401,0.38,
194402,0.38,
194403,0.38,
194404,0.38,
194405,0.38,
194406,0.38,
194407,0.38,
194408,0.38,
194409,0.38,
194410,0.38,
194411,0.38,
194412,0.38,
194501,0.38,
194502,0.38,
194503,0.38,
194504,0.38,
194505,0.38,
194506,0.38,
194507,0.38,
194508,0.38,
194509,0.38,
194510,0.38,
194511,0.38,
194512,0.38,
194601,0.38,
194602,0.38,
194603,0.38,
194604,0.38,
194605,0.38,
194606,0.38,
194607,0.38,
194608,0.38,
194609,0.38,
194610,0.38,
194611,0.38,
194612,0.38,
194701,0.38,
194702,0.38,
194703,0.38,
194704,0.38,
194705,0.38,
194706,0.38,
194707,0.66,
194708,0.75,
194709,0.8,
194710,0.85,
194711,0.92,
194712,0.95,
194801,0.97,
194802,1,
194803,1,
194804,1,
194805,1,
194806,1,
194807,1,
194808,1.06,
194809,1.09,
194810,1.12,
194811,1.14,
194812,1.16,
194901,1.17,
194902,1.17,
194903,1.17,
194904,1.17,
194905,1.17,
194906,1.17,
194907,1.02,
194908,1.04,
194909,1.07,
194910,1.05,
194911,1.08,
194912,1.1,
195001,1.07,
195002,1.12,
195003,1.12,
195004,1.15,
195005,1.16,
195006,1.15,
195007,1.16,
195008,1.2,
195009,1.3,
195010,1.31,
195011,1.36,
195012,1.34,
195101,1.34,
195102,1.36,
195103,1.4,
195104,1.47,
195105,1.55,
195106,1.45,
195107,1.56,
195108,1.62,
195109,1.63,
195110,1.54,
195111,1.56,
195112,1.73,
195201,1.57,
195202,1.54,
195203,1.59,
195204,1.57,
195205,1.67,
195206,1.7,
195207,1.81,
195208,1.83,
195209,1.71,
195210,1.74,
195211,1.85,
