TICKER,FSYM_ID,DATE,CURRENCY,PRICE_DATE,MTD_RETURN_LOCAL,MTD_RETURN_USD,Unnamed: 7
GRUB.XX1-US,JYZ7VV-R,07/31/2014,USD,07/31/2014,2.4852,2.4852,9380
ITHUF-US,F4MN42-R,04/30/2022,USD,04/29/2022,-12.8713,-12.8713,11818
NTS-US,K0TYJM-L,04/30/2014,USD,04/30/2014,1.5544,1.5544,7494
FERL-US,M2PP6F-R,12/31/2018,USD,12/18/2018,,,11732
EAST-US,Q87KLD-R,07/31/2020,USD,07/31/2020,-16.5517,-16.5517,8324
DMPLF-US,FSW04B-R,09/30/2022,USD,09/28/2022,0.0,0.0,1292
CNBX-US,RT5YKF-R,02/28/2021,USD,02/26/2021,47.7375,47.7375,10701
CVSI-US,QRQXQ5-R,09/30/2022,USD,09/30/2022,-21.2806,-21.2806,7096
NTRI-US,K395T1-R,05/31/2015,USD,05/29/2015,20.3713,20.3713,3031
DRLDF-US,H32YBK-R,12/31/2012,USD,12/20/2012,-8.8235,-8.8235,1323
PSFE-US,NXYW4N-R,11/30/2020,USD,11/30/2020,8.4788,8.4788,13538
TBGNF-US,RFYWLN-R,06/30/2019,USD,06/26/2019,4.4455,4.4455,4124
HMNY-US,RT6V44-R,04/30/2017,USD,04/28/2017,-6.3604,-6.3604,11010
AXXDF-US,R5SRV3-R,06/30/2020,USD,06/26/2020,-32.816,-32.816,473
CTR-US,C450XZ-R,06/30/2018,USD,06/29/2018,-1.5859,-1.5859,9077
LICT-US,TF4P6R-R,02/29/2020,USD,02/27/2020,-2.139,-2.139,7393
PODD-US,NCGB47-R,06/30/2016,USD,06/30/2016,0.7328,0.7328,3351
DSGR-US,TLQHTY-R,03/31/2014,USD,03/31/2014,9.6928,9.6928,1332
BYCRF-US,SW9WDF-R,08/31/2020,USD,08/18/2020,,,10543
COOP-US,L52PJ0-R,12/31/2020,USD,12/31/2020,16.3916,16.3916,1029
NBSE-US,T8NYMK-R,01/31/2017,USD,01/31/2017,-3.3333,-3.3333,6678
BPOSY-US,LG4KBR-R,05/31/2017,USD,05/31/2017,1.6471,1.6471,11631
QTVLF-US,WGMBLZ-R,05/31/2017,USD,05/30/2017,3.1481,3.1481,8628
OXFCF-US,THJ8KT-R,02/28/2021,USD,02/26/2021,-0.4525,-0.4525,3179
TAPOF-US,MT9R9C-R,03/31/2015,USD,03/05/2015,-29.5082,-29.5082,4118
CMPY-US,GPCN6D-R,07/31/2018,USD,07/31/2018,9.7143,9.7143,11671
VHI-US,XP6BXP-R,11/30/2013,USD,11/29/2013,-16.7665,-16.7665,8805
LIND-US,NFHBBD-R,11/30/2013,USD,11/29/2013,,,7394
AJRD-US,WDC30F-R,10/31/2014,USD,10/31/2014,6.1991,6.1991,2
PLHCF-US,W4LG1L-R,06/30/2019,USD,06/25/2019,-4.5455,-4.5455,3313
APELF-US,RZXRK5-R,01/31/2020,USD,01/30/2020,,,4950
WMLPQ-US,BZSC9S-R,12/31/2017,USD,12/29/2017,7.3077,7.3077,4572
BEGI-US,VCJHBJ-R,05/31/2020,USD,05/29/2020,40.6594,40.6594,10832
MRCY-US,W3DC9S-R,10/31/2021,USD,10/29/2021,8.6883,8.6883,6172
NUZE-US,VPQVVK-R,04/30/2018,USD,04/26/2018,,,12239
NXCLF-US,HKHZZ3-R,08/31/2018,USD,08/31/2018,0.6441,0.6441,5415
ASOZF-US,LHJH1W-R,01/31/2019,USD,01/25/2019,7.3468,7.3468,387
ORTX-US,WCTVKQ-R,12/31/2019,USD,12/31/2019,20.7199,20.7199,11908
SAH-US,Q1KLV4-R,04/30/2022,USD,04/29/2022,0.0941,0.0941,3698
FSRPF-US,D6KQRG-R,11/30/2016,USD,11/23/2016,-7.2727,-7.2727,12874
PRMNF-US,NXJ6VL-R,05/31/2018,USD,05/04/2018,,,15027
CSVI-US,L9WF5L-R,08/31/2016,USD,08/31/2016,0.7958,0.7958,4847
HYFXF-US,GHQ3DN-R,05/31/2015,USD,05/29/2015,-10.5227,-10.5227,2142
PMOIF-US,CC2BP3-R,03/31/2022,USD,03/28/2022,38.5579,38.5579,8612
ITXXF-US,JX364C-R,11/30/2021,USD,11/22/2021,-21.3873,-21.3873,2315
FF-US,GTX249-R,09/30/2015,USD,09/30/2015,-1.9841,-1.9841,1622
HTCTF-US,BWB0L1-R,06/30/2020,USD,06/17/2020,6.1,6.1,2113
EUGFF-US,XF8CSV-R,09/30/2016,USD,09/27/2016,-12.208,-12.208,7181
ELEEF-US,HSRBVN-R,03/31/2021,USD,03/30/2021,12.3813,12.3813,1431
GIIXU-US,N9PSHF-R,04/30/2021,USD,04/30/2021,0.1,0.1,14515
LFUS-US,S2111F-R,05/31/2017,USD,05/31/2017,5.2751,5.2751,2514
EBR.B-US,VLHC13-R,05/31/2022,USD,05/31/2022,5.85,5.85,1370
VCYT-US,KZ8DTZ-R,07/31/2016,USD,07/29/2016,-1.5905,-1.5905,7801
GMOLQ-US,MLMJ1W-R,05/31/2013,USD,05/31/2013,15.5914,15.5914,1859
KNCAY-US,X1T4DL-R,06/30/2022,USD,06/30/2022,-2.8416,-2.8416,12772
IAG-US,D3WV55-R,01/31/2020,USD,01/31/2020,-20.6434,-20.6434,7309
AMD-US,RT66YK-R,09/30/2018,USD,09/28/2018,22.7255,22.7255,261
ARCW-US,MR12J1-R,01/31/2014,USD,01/31/2014,0.362,0.362,8000
FORR-US,RGV7SB-R,03/31/2014,USD,03/31/2014,-0.5809,-0.5809,1683
CFFI-US,CX1RP4-R,04/30/2021,USD,04/30/2021,-4.7641,-4.7641,848
BLSFY-US,VR2G5L-R,07/31/2018,USD,07/27/2018,-1.6994,-1.6994,5918
MRPRF-US,NZVW1D-R,01/31/2015,USD,01/29/2015,1.9508,1.9508,8533
ZF-US,W2843Q-R,05/31/2015,USD,05/29/2015,0.0662,0.0662,10773
VPG-US,TD4FRK-R,03/31/2020,USD,03/31/2020,-26.9021,-26.9021,4474
VRTU-US,WM490T-R,12/31/2015,USD,12/31/2015,-16.0609,-16.0609,5689
SDRMU-US,TCSDL2-R,11/30/2015,USD,11/30/2015,-2.1402,-2.1402,8677
SSTK-US,FFSWN7-R,12/31/2017,USD,12/29/2017,1.2709,1.2709,4004
RDN-US,G6KS0R-R,02/28/2014,USD,02/28/2014,4.5197,4.5197,3549
TWOH-US,TN58B2-R,05/31/2015,USD,05/29/2015,-40.0,-40.0,10496
IFS-PE,K28W6S-L,01/31/2020,USD,01/31/2020,3.0562,3.0562,14636
MTTRY-US,R76Y6P-R,06/30/2016,USD,06/30/2016,-6.4417,-6.4417,11523
COFS-US,CQCYC4-R,07/31/2016,USD,07/29/2016,0.4329,0.4329,7062
TGSNF-US,FMFLV5-R,09/30/2017,USD,09/28/2017,16.1275,16.1275,8746
ESEA-US,D3YG7P-R,08/31/2022,USD,08/31/2022,-5.1012,-5.1012,7174
DSX-US,GHWGMP-R,03/31/2014,USD,03/31/2014,-7.9109,-7.9109,1336
CRNZF-US,V98Q81-R,10/31/2016,USD,10/12/2016,0.8,0.8,8292
AGTC-US,BT6QF4-R,03/31/2019,USD,03/29/2019,10.2632,10.2632,7994
DY-US,WC77JQ-R,04/30/2019,USD,04/30/2019,7.9451,7.9451,6400
BEEM-US,VMHGHF-R,12/31/2012,USD,12/31/2012,,,12988
VLY-US,T0PLWF-R,09/30/2015,USD,09/30/2015,5.2251,5.2251,4460
YDUQY-US,K1C16Q-R,10/31/2020,USD,10/30/2020,-21.2551,-21.2551,4645
STGGQ-US,DNR8QM-R,11/30/2018,USD,11/27/2018,,,9641
VIAAY-US,VPSQ85-R,03/31/2016,USD,03/29/2016,,,4441
TBGNF-US,RFYWLN-R,10/31/2014,USD,10/24/2014,6.7708,6.7708,4124
MCRPF-US,HX2LSK-R,09/30/2021,USD,09/30/2021,-3.6441,-3.6441,2671
JTD-US,DKH3RN-R,09/30/2013,USD,09/30/2013,1.5715,1.5715,11052
CLLKF-US,W6VF4X-R,02/28/2021,USD,02/24/2021,7.5529,7.5529,10700
KYRNF-US,LTKSY5-R,07/31/2021,USD,07/01/2021,,,5276
AKO.A-US,S90104-R,05/31/2015,USD,05/29/2015,6.0929,6.0929,216
ALJJ-US,NPPH0W-R,08/31/2022,USD,08/31/2022,-28.0193,-28.0193,8100
ITRN-US,QG96FG-R,06/30/2016,USD,06/30/2016,4.6922,4.6922,2311
OROVF-US,LP6HS2-R,06/30/2018,USD,06/21/2018,-0.4306,-0.4306,12557
LFBCF-US,DJGTZ5-R,01/31/2020,USD,01/29/2020,5.9375,5.9375,2512
VASO-US,V05J16-R,08/31/2016,USD,08/31/2016,-1.9608,-1.9608,7798
AMLH-US,NZNPMZ-R,08/31/2022,USD,08/31/2022,-12.5,-12.5,8179
ALT-US,TQBB2W-R,08/31/2021,USD,08/31/2021,65.2701,65.2701,6908
BRMSY-US,G5H87F-R,03/31/2014,USD,03/31/2014,10.5574,10.5574,9187
BANR-US,P1X303-R,08/31/2014,USD,08/29/2014,-2.1372,-2.1372,494
ATVK-US,L802YW-R,05/31/2021,USD,05/28/2021,-58.0645,-58.0645,8946
AZIHF-US,FPWW9R-R,07/31/2022,USD,07/29/2022,-8.5867,-8.5867,478
ASGN-US,VFZ8WN-R,10/31/2013,USD,10/31/2013,2.3939,2.3939,378
NZF-US,LSK177-R,04/30/2017,USD,04/28/2017,2.7444,2.7444,10062
